horizon_weeks,n_decisions,mae,persistence_mae,mae_ratio_vs_persistence,triggered_prebuys,trigger_precision,annualized_savings_brl,annualized_savings_ci90_low,annualized_savings_ci90_high,ci90_positive
1,196,0.050285270472033024,0.05129441624365481,0.9803264010876307,42,0.7142857142857143,9284.69387755102,3288.8265306122407,17103.061224489797,True
2,194,0.09575369326146704,0.09678571428571427,0.9893370521479992,53,0.7169811320754716,16101.030927835049,6426.494845360816,28265.721649484523,True
4,190,0.18061825432596473,0.18106185567010308,0.9975500011170404,60,0.6833333333333333,26024.21052631578,11264.526315789459,43617.47368421051,True
8,182,0.3341883189867373,0.3392157894736842,0.9851791377555056,55,0.7818181818181819,49829.67032967032,18892.252747252736,77800.21978021978,True
12,174,0.47045222070580617,0.48374193548387096,0.9725272633955716,51,0.803921568627451,62565.51724137929,20352.068965517246,107508.27586206894,True
