horizon_weeks,n_decisions,mae,persistence_mae,mae_ratio_vs_persistence,triggered_prebuys,trigger_precision,annualized_savings_brl,annualized_savings_ci90_low,annualized_savings_ci90_high,ci90_positive
1,196,0.050285270472033024,0.05129441624365481,0.9803264010876307,42,0.7142857142857143,9027.551020408164,3087.857142857144,16802.142857142862,True
2,194,0.09575369326146704,0.09678571428571427,0.9893370521479992,53,0.7169811320754716,15445.360824742269,5823.0927835051525,27564.123711340213,True
4,190,0.18061825432596473,0.18106185567010308,0.9975500011170404,60,0.6833333333333333,24508.42105263157,10161.947368421032,42044.84210526314,True
8,182,0.3341883189867373,0.3392157894736842,0.9851791377555056,55,0.7818181818181819,46928.57142857142,16683.131868131863,74266.15384615384,True
12,174,0.47045222070580617,0.48374193548387096,0.9725272633955716,51,0.803921568627451,58344.82758620687,16899.8275862069,102507.06896551726,True
